공고명,지원대상,주관기관,사업유형,신청기간,등록일자,해시태그,url,공고번호
[전남] SEOUL FOOD in Bangkok 2025 농수산식품 홍보관 참가 희망기업 모집 공고,중소기업,전라남도,유관기관지원사업,2025-08-05 ~ 2025-08-20,2025-08-06T11:12:11,"['수출', '전남', '방콬', '2025', '바이어유치', 'KOTRA광주전남지원단', '부스', '생산', '농수산', '항공', '가공식품', '통역', '포장디자인', '제품개발', '유통', '전라남도', '상담']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113347,
2025년 스페인 바르셀로나 스마트시티 엑스포 월드콩그레스 전시회 (SCEWC) 한국관 참가기업 모집 공고,중소기업,산업통상자원부,유관기관지원사업,2025-07-28 ~ 2025-08-14,2025-08-06T11:05:49,"['금융', '수출', '경영', '서울', '부산', '대구', '인천', '광주', '대전', '울산', '세종', '경기', '강원', '충북', '충남', '전북', '전남', '경북', '경남', '제주', '월드콩그레스', '바르셀로나', '스페인', '한국관', '엑스포', '대한무역투자진흥공사', '스마트시티', '전시회', '산업통상자원부', '2025']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113325,
2025년 3차 장애인 창업사업화 지원사업 대상자 추가 모집 공고,장애인기업,중소벤처기업부,유관기관지원사업,2025-08-06 ~ 2025-08-27,2025-08-06T11:04:44,"['금융', '창업', '경영', '서울', '부산', '대구', '인천', '광주', '대전', '울산', '세종', '경기', '강원', '충북', '충남', '전북', '전남', '경북', '경남', '제주', '집기구입비', '마케팅홍보', '폐업비용', '2025', '업종전환희망자', '전문컨설팅', '브랜드개발', '장애인기업종합지원센터', '홈페이지', '인테리어', '앱', '예비창업자', '중소벤처기업부']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113346,
2025년 만화ㆍ웹툰 수출용 홍보자료(샘플) 제작 지원 모집 공고,중소기업,문화체육관광부,유관기관지원사업,2025-08-04 ~ 2025-08-26,2025-08-06T10:59:07,"['수출', '내수', '경영', '서울', '부산', '대구', '인천', '광주', '대전', '울산', '세종', '경기', '강원', '충북', '충남', '전북', '전남', '경북', '경남', '제주', '디지털파일', '인쇄책', '한국만화', '2025', '홍보자료', '편집', '해외시장진출', '전자책', '수출확대', '웹툰', '번역', '인쇄', '한국콘텐츠진흥원', '문화체육관광부', '디자인', 'IP', '해외시장', '제작']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113343,
[광주] 2025년 5차 기술이전 예비창업가 지원 사업 추가 모집 공고(맞춤형예비창업가발굴육성사업),창업벤처,광주광역시,유관기관지원사업,2025-08-05 ~ 2025-08-19,2025-08-06T10:38:02,"['금융', '기술', '창업', '경영', '광주', '예비창업가발굴육성', '2025', '예비창업가', '맞춤형', '소재', '전자', '전기', '광주테크노파크', '기술이전', '광주광역시', '정보통신', '기계']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113342,
[세종] 2025년 미래전락산업 혁신기반 조성 지원을 위한 스타트업 챌린지 지원사업 (예비)초기창업자 모집 공고,창업벤처,세종특별자치시,유관기관지원사업,2025-08-05 ~ 2025-08-22,2025-08-06T10:33:44,"['기술', '창업', '경영', '세종', '생태계구축', '디자인설계', '혁신아이디어', '2025', '챌린지', '제품기획', '창업아이템', '세종창조경제혁신센터', '초기창업자', '고도화', '육성', '예비창업자', '시제품제작', '세종특별자치시', '스타트업']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113341,
[광주] 2025년 3차 기술기반 예비창업가 사업화자금지원 추가 모집 공고(맞춤형예비창업가발굴육성사업),창업벤처,광주광역시,유관기관지원사업,2025-08-05 ~ 2025-08-19,2025-08-06T10:30:31,"['기술', '인력', '창업', '경영', '광주', '예비창업가발굴육성', '사업화자금지원', '2025', '기술기반', '예비창업가', '맞춤형', '소재', '전자', '전기', '광주테크노파크', '광주광역시', '정보통신', '기계']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113320,
2025년 TYMㆍTYMICT X 충남창조경제혁신센터 Nexus Connect 오픈이노베이션 밋업 데이 참여기업 모집 공고,창업벤처,충청남도,유관기관지원사업,2025-08-05 ~ 2025-09-02,2025-08-06T10:28:26,"['창업', '서울', '부산', '대구', '인천', '광주', '대전', '울산', '세종', '경기', '강원', '충북', '충남', '전북', '전남', '경북', '경남', '제주', 'TYMICT', 'TYM', 'Nexus Connect', '밋업데이', '2025', '오픈이노베이션', '충남창조경제혁신센터', '충청남도', '스타트업']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113324,
2025년 아산시시설관리공단ㆍ충남창조경제혁신센터 Nexus Connect 오픈이노베이션 밋업 데이 참여기업 모집 공고,창업벤처,충청남도,유관기관지원사업,2025-08-05 ~ 2025-09-02,2025-08-06T10:22:43,"['창업', '서울', '부산', '대구', '인천', '광주', '대전', '울산', '세종', '경기', '강원', '충북', '충남', '전북', '전남', '경북', '경남', '제주', '밋업ㄷ이', 'Nexus Connect', '아산시시설관리공단', '2025', '오픈이노베이션', '충남창조경제혁신센터', '충청남도', '스타트업']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113319,
[대구] 2025년 대한민국 ICT융합 엑스포(FIX 2025) 블록체인 공동관 조성 지원사업 모집 공고(블록체인 융복합타운 조성 사업),중소기업,대구광역시,유관기관지원사업,2025-08-05 ~ 2025-08-19,2025-08-06T10:22:12,"['기술', '수출', '내수', '경영', '대구', '융복합타운', '2025', '대구디지털혁신진흥원', '전시부스', '임차', '엑스포', '공동관', '구매상담회', '비즈니스', '수출상담회', 'ICT융합', '상담회', 'ICT', '블록체인', '대구광역시', '전시회', '메타버스', '상담', '세미나']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113323,
[울산] 2025년 대양주 소비재 시장개척단 참가기업 모집 공고,중소기업,울산광역시,유관기관지원사업,2025-08-05 ~ 2025-08-21,2025-08-06T10:20:12,"['수출', '울산', '친환경포장식품', '바이어섭회', '현지시장조사', '2025', '비건화장품', '사후마케팅', '편도항공료', '보험료', '통역', '대양주', '시장개척단', 'KOTRA울산지원단', '울산광역시', '상담회', '소비재']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113318,
[울산] 2025년 메타버스 지원센터 운영 KMF 2025 전시회 참가 기업 모집 공고,중소기업,울산광역시,유관기관지원사업,2025-08-04 ~ 2025-08-18,2025-08-06T10:12:00,"['내수', '울산', 'KMF 2025', '울산공동관', '기업소개자료', '2025', 'VFX', '장치', '부스임차', '운송료', '울산정보산업진흥원', '울산광역시', 'NFT', '전시회', '메타버스']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113316,
[부산] BGC 예비 개발자 점프업 지원 사업 참가자(팀) 모집 공고,창업벤처,부산광역시,유관기관지원사업,2025-08-05 ~ 2025-08-20,2025-08-06T10:01:11,"['기술', '창업', '경영', '부산', 'UGC', 'BGC', '예비개발자', '점프업', '제작공간', '2025', '제작지원금', '게임개발', '창업지원금', '부산정보산업진흥원', '액셀러레이팅', '예비창업자', '부산광역시', '멘토링', '교육']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113321,
2025년 한ㆍ호주 바이오헬스 교류단 참여 기관 모집 공고,중소기업,보건복지부,유관기관지원사업,2025-08-05 ~ 2025-08-22,2025-08-06T09:58:42,"['금융', '수출', '내수', '경영', '서울', '부산', '대구', '인천', '광주', '대전', '울산', '세종', '경기', '강원', '충북', '충남', '전북', '전남', '경북', '경남', '제주', '제약바잉ㅎ', '한ㆍ호주', '기술ㆍ제품', '교류단', '2025', '등록비', '호주', '시장진출', '바이오헬스', '한국보건산업진흥원', '보건복지부', '마케팅']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113314,
[경기] 동두천시 2025년 청년창업지원센터 지역경제활성화 및 로컬 창업 아이디어 공모전 모집 공고,창업벤처,경기도,유관기관지원사업,2025-08-01 ~ 2025-08-29,2025-08-06T09:54:26,"['금융', '기술', '창업', '경영', '경기', '지역경제활성화', '2025', '청년창업지원센터', '로컬창업', '동두천시', '아이디어', '공모전', '예비창업자', '창업자', '기초자치단체', '경기도']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113313,
[경기] 시흥시 2025년 소공인 공동판로개척사업 참여기업 모집 공고,중소기업,경기도,유관기관지원사업,2025-08-05 ~ 2025-09-19,2025-08-06T09:41:15,"['내수', '경기', '공동판로개척사업', 'KES 2025', '2025한국전자전', '직접지구', '2025', '전기장비', '전자부품', '공동관', '한국전자정보통신산업진흥회', '소공인', '시흥산업진흥원', '경기도', '산업통상자원부']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113300,
[경남] 남해군ㆍ의령군ㆍ함양군 2025년 지원기업 모집 통합 공고(시군구연고산업육성사업),중소기업,경상남도,유관기관지원사업,2025-08-04 ~ 2025-08-13,2025-08-06T09:31:01,"['내수', '경영', '경남', '교육연계', '유통시장진입', '인구소멸지역', '시군구', '함양군', '연고산업', '육성사업', '2025', '남해군', '의령군', '연계', '수혜기업', '국내', '판로확대', '공영홈쇼핑', '입점', '경남테크노파크', '경상남도', '컨설팅', '중소기업']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113310,
[충북] 2025년 2차 소재ㆍ부품ㆍ장비 분야 기술개발 지원사업 공고,중소기업,충청북도,유관기관지원사업,2025-08-05 ~ 2025-08-29,2025-08-06T09:10:41,"['금융', '기술', '창업', '충북', '중소ㆍ중견', '2025', '기술경쟁력', '국산화', '장비', '소재', '충북과학기술혁신원', '부품', '충청북도', '스타트업']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113305,
[대구] 2025년 (Pre)스타기업 육성사업 FIX 2025 스타기업 공동관 참여기업 모집 공고,중소기업,대구광역시,유관기관지원사업,2025-08-04 ~ 2025-08-22,2025-08-06T09:08:49,"['금융', '수출', '내수', '대구', 'FIX2025', '공동관전시', '2025', 'CES', 'Pre-스타기업', '대구테크노파크', '공동관', '스타기업', '바이어상담', '대구광역시', '투자유치', 'IR']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113303,
[유관기관 공고] 2025년 소상공인 역량강화사업(기업가형육성컨설팅) 기업가형 특화 컨설턴트 모집 공고,컨설턴트,소상공인시장진흥공단,공단지원사업,2025-07-30 ~ 2025-08-22,2025-08-05T14:55:23,[],,506.0
[경기] 2차 무역위기 대응 패키지 지원사업 모집 공고,중소기업,경기도,유관기관지원사업,2025-08-04 ~ 2025-08-28,2025-08-05T14:40:34,"['금융', '수출', '경영', '경기', '수출회복', '무역위기', '경기도경제과학기술진흥원', '대응', '위기극복', '해외전시회', '경기도', '인증', '패키지', '컨설팅', '중소기업', '2025']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113296,
[경북] 예천군 2025년 경영혁신 외식서비스 지원사업 추가모집 공고,소상공인,경상북도,유관기관지원사업,2025-08-04 ~ 2025-08-11,2025-08-05T14:24:34,"['경영', '경북', '2025', '경상북도', '경상북도경제진흥원', '예천군', '경영혁신', '외식서비스', '소상공인', '맞춤형컨설팅', '경영안정', '역량강화']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113280,
[경북] 2025년 경북세일페스타 온라인 기획전 참여업체 추가 연장모집 공고(경북세일페스타 마케팅 지원사업),중소기업,경상북도,유관기관지원사업,2025-08-04 ~ 2025-08-14,2025-08-05T14:12:06,"['내수', '경북', '페이지노출', '제휴', ' B2C', '매출증진', '소비촉진', '롯데쇼핑', '판매지원', '오아시스', '우체국쇼핑', '2025', '지마켓', '쿠팡', '11번가', '할인쿠폰', '유통채널', '네이버', '프로모션', '경상북도경제진흥원', '경상북도', '소상공인', '중소기업']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113294,
[강원] 2025년 농식품 수출기업 육성 지원사업 사업자 모집 공고,중소기업,강원특별자치도,유관기관지원사업,2025-08-04 ~ 2025-08-11,2025-08-05T14:04:17,"['경영', '강원', '수출농식품', '수출기업육성', '강원특별자치도', '2025', '농업법인', '단체', '농식품', '판로개척', '직접수행', '해외시장']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113277,
[대전] 동구 2025년 인쇄거리 굿즈마켓 공고,소상공인,대전광역시,유관기관지원사업,2025-08-04 ~ 2025-08-13,2025-08-05T13:51:10,"['내수', '경영', '대전', '대전인쇄거리', '전동', '체험부스제공', '굿즈마켓', '인쇄집적지', '2025', '삼성동', '판매', '동구', '인쇄', '중동', '대전일자리경제진흥원', '소공인', '대전광역시']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113289,
2025년 쿠바 아바나 국제박람회(Havana Int’l Fair 2025) 한국 홍보관 참가기업 모집 공고,중소기업,산업통상자원부,유관기관지원사업,2025-08-04 ~ 2025-08-19,2025-08-05T13:41:35,"['수출', '내수', '서울', '부산', '대구', '인천', '광주', '대전', '울산', '세종', '경기', '강원', '충북', '충남', '전북', '전남', '경북', '경남', '제주', '운반보관료', '쿠바', '아바나', '통신장비', '국제박람회', '2025', '현장지원', '행정', '홍보관', '임차료', '섬유', '장치비', '자동차', '대한무역투자진흥공사', '식품', '가전', '홍보', '전시회', '산업통상자원부', '소비재', '마케팅']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113288,
[부산] 2025년 동행축제와 함께하는 부산 살림 마켓 판매전 참가기업 모집 공고,중소기업,부산광역시,유관기관지원사업,2025-08-04 ~ 2025-08-15,2025-08-05T13:39:47,"['내수', '부산', '부산살림마켓', '소형운동기구', '리빙용품', '판매공간', '동행축제', '2025', '주류', '매대', '행사', '백화점', '부산경제진흥원', '식품', '홍보', '부산광역시', '식음료', '중소기업', '소상공인']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113276,
[강원] 2025년 일자리 도약장려금 참여기업 모집 변경 공고(자동차 부품산업 일자리 플러스),중소기업,강원특별자치도,유관기관지원사업,2025-03-11 ~ 2025-09-30,2025-08-05T13:31:26,"['금융', '인력', '강원', '강원특별자치도경제진흥원', '강원특별자치도', '플러스', '2025', '도약장려금', '부품산업', '부품제조', '자동차', '일자리']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113275,
[전북] 제23회 전주국제발효식품엑스포 참가기업 추가모집 공고,중소기업,전북특별자치도,유관기관지원사업,2025-08-05 ~ 2025-08-25,2025-08-05T13:21:22,"['내수', '경영', '전북', '발효제품', '전북특별자치도', '부스참가', '2025', '전주국제발효식품엑스포', '발효식품', '생산', '전북바이오융합산업진흥원', '수출상담회', '기업', '기관', '식음료', '제조', '마케팅']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113285,
[강원] 속초시 2025년 소상공인 특례보증 지원 계획 변경 공고,소상공인,강원특별자치도,유관기관지원사업,예산 소진시까지,2025-08-05T13:20:32,"['금융', '강원', '한도증액', '강원특별자치도', '2025', '특례보증', '강원신용보증재단', '속초시', '보증', '수수료', '대출']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113274,
[충북] 2025년 콘텐츠 기업 통합마케팅 지원 공고(충북콘텐츠기업지원센터),중소기업,충청북도,유관기관지원사업,2025-08-18 ~ 2025-08-22,2025-08-05T13:19:30,"['금융', '내수', '경영', '충북', '콘텐츠보유', '마켓입점', '시장창출', '2025', '전시참가', '특허출원', '홍보영상', '등록', '과제', '통번역', '콘텐츠기업', '충북과학기술혁신원', '사업화', '판로개척', '충청북도', '지재권', '마케팅']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113284,
[경기] 2025년 스타트업 글로벌 성장지원 미국 뉴욕 투자유치 지원 프로그램 참여기업 모집 공고,창업벤처,경기도,유관기관지원사업,2025-08-05 ~ 2025-08-22,2025-08-05T13:14:46,"['수출', '내수', '창업', '경영', '경기', '성장지원', '2025', '지원프로그램', '뉴욕', '핀테크', '패션', '디지털헬스케어', '글로벌', 'ICT', '문화콘텐츠', '경기도경제과학진흥원', '투자유치', '경기도', '스타트업']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113283,
2025년 전시회 부스 지원 참여 소상공인 모집(고카프 더 파이널 시즌1ㆍ 코베 베이비페어ㆍ메가쇼 시즌2),소상공인,중소벤처기업부,유관기관지원사업,2025-08-04 ~ 2025-08-20,2025-08-05T11:16:39,"['금융', '내수', '경영', '서울', '부산', '대구', '인천', '광주', '대전', '울산', '세종', '경기', '강원', '충북', '충남', '전북', '전남', '경북', '경남', '제주', '부스지원', '교육이수', '운수업', '2025', '집기', '중소상공인희망재단', '오프라인', '광업', '판로개척', '전시회', '중소벤처기업부', '제조업', '소상공인']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113260,
[전북] 2025년 중국 국제 투자무역 박람회 참가 기업 모집 공고,중소기업,전북특별자치도,유관기관지원사업,2025-08-05 ~ 2025-08-11,2025-08-05T10:58:44,"['금융', '수출', '내수', '전북', '국제투자무역박람회', '전북특별자치도중국사무소', '수입허가', '전북특별자치도', '2025', '제품전시', '부스', '숙박비', '통역', '바이어발굴', '홍보', '중국']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113259,
2025년 해외전시회(GITEXㆍVINAMAC EXPO) 한국로봇관 참여 로봇기업 모집 공고,중소기업,과학기술정보통신부,유관기관지원사업,2025-08-18 ~ 2025-08-25,2025-08-05T10:50:01,"['금융', '기술', '수출', '내수', '경영', '서울', '부산', '대구', '인천', '광주', '대전', '울산', '세종', '경기', '강원', '충북', '충남', '전북', '전남', '경북', '경남', '제주', 'K-로봇', '공동홍보관', '2025', '제품운송', '로봇기업', '국내', '수출활성화', '부스임차료', '한국로봇산업진흥원', '통역', '해외전시회', '홍보', '과학기술정보통신부', '전시회', '마케팅']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113268,
[경기] 포천시 2025년 제6회 청년축제 운영부스 모집 공고,중소기업,경기도,유관기관지원사업,2025-08-04 ~ 2025-08-18,2025-08-05T10:19:42,"['내수', '경기', '2025', '부스', '포천시', '청년축제', '체험', '전시부스', '홍보', '청년관련활동', '테이블', '현수막', '의자', '전기시설', '경기도', '기초자치단체']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113263,
[경기] 용인시 2025년 소상공인 온라인플랫폼 비용지원사업 추가모집 공고,소상공인,경기도,유관기관지원사업,2025-08-18 ~ 2025-08-22,2025-08-05T10:17:41,"['금융', '내수', '경영', '경기', '지속경영', '키워드광고', '2025', '홍보비용', '상세페이지제작', '리뉴얼', '용인시', '한국생산성본부', '플랫폼', '경기도', '소상공인', '온라인']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113262,
[경기] 2025년 2기 창업혁신공간 컴퍼니빌더형 지원사업 참가팀 모집 공고,창업벤처,경기도,유관기관지원사업,2025-08-05 ~ 2025-08-25,2025-08-05T10:00:01,"['창업', '경영', '경기', '창업혁신공간', '2025', '성과발표회', '후속지원', '초기창업자', '액셀러레이팅', '예비창업자', '경기도경제과학진흥원', '투자유치', '경기도', '컨설팅', '교육']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113252,
[경기] 화성시 2025년 청년 창업 컨설팅 지원 사업 참여자 모집 공고,창업벤처,경기도,유관기관지원사업,2025-08-04 ~ 2025-10-31,2025-08-05T09:58:24,"['창업', '경영', '경기', '2025', '컨설팅', '화성시', '예비창업청년', '예비창업자', '청년창업자', '경기도', '기초자치단체']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113240,
[경기] 시흥시 2025년 중소기업 육성자금 지원 사업 변경 공고,중소기업,경기도,유관기관지원사업,예산 소진시까지,2025-08-05T09:55:28,"['금융', '경기', '창업사업화자금', '2025', '이차보전', '재해자금', '일반자금', '기초자치단체', '시흥시', '경기도', '제조업', '융자', '중소기업']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113239,
[전남] 2025년 글로벌게임센터 마케팅(일반지원) 지원사업 모집 공고(지역기반게임산업육성사업),중소기업,전라남도,유관기관지원사업,2025-08-04 ~ 2025-08-18,2025-08-05T09:33:18,"['금융', '내수', '경영', '전남', '체감형게임', '게임서비스', '일반지원', '전남글로벌게임센터', '게임배급업', '실비', '2025', '콘솔', '게임제작업', 'PC', '전남정보문화산업진흥원', 'AR', 'VR', '모바일', '인프라', '게임기업', '해외전시회', '국내전시회', '전라남도', '컨설팅', '마케팅']",https://www.sbiz24.kr/#/extldPbanc/PBLN_000000000113237,
